Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2012-04-25,37.235286712646484,37.92196772444223,36.97778133322308,37.698797326979346,3380361
2012-04-26,37.115116119384766,38.04213494935744,36.82327578012177,37.54429171922643,4377198
2012-04-27,37.1666145324707,37.7674603443214,36.99494430051336,37.14944704358966,1965594
2012-04-30,38.19662857055664,38.47130135449338,37.11510724881171,37.11510724881171,3199398
2012-05-02,37.63013458251953,38.40265082119873,37.458464307257486,38.04214277746301,3811572
2012-05-03,37.303955078125,37.595795445219814,37.132284821816725,37.42412518891154,1452253
2012-05-04,36.6515998840332,37.28678060514711,36.42842720950002,37.11511039170295,5666533
2012-05-07,36.32542419433594,36.73743456456321,35.43274049183813,36.53142937944957,4565509
2012-05-08,36.308265686035156,36.788941434770955,36.067925483240565,36.32543084758332,2959419
2012-05-09,35.79326248168945,36.47994359762194,35.62159220270633,36.0679330653207,2412310
2012-05-10,35.19241714477539,36.170936355704804,35.020746862672624,35.75892814434362,3946438
2012-05-11,34.79755783081055,35.36407089395766,34.40271729793545,35.19240069211177,3389145
2012-05-14,34.76323318481445,34.9520685875458,34.40272521231763,34.67739806414505,2233766
2012-05-15,35.32974624633789,35.48424900746303,34.36839236938719,34.711732873410526,3494080
2012-05-16,35.89625549316406,36.153760859320435,34.67739862276525,35.12373939469494,4435353
2012-05-17,35.96492004394531,36.66876840458993,35.65591225398052,36.0507551530867,4208594
2012-05-18,36.08509063720703,36.44559858963434,35.209571989434004,35.65591505775227,4935351
2012-05-21,35.69025421142578,36.3597677280265,35.449916324495625,36.01642722429005,1491370
2012-05-22,35.60441970825195,35.896257744476415,35.3984144710361,35.827590108213414,2362045
2012-05-23,35.5700798034668,36.03359035884515,35.106571576514966,35.67308240782049,3087547
2012-05-24,36.17092514038086,36.32542788068207,35.17523874428284,35.84475217120575,2135683
2012-05-25,35.741756439208984,36.05076430764173,35.62158865295204,35.879094045765854,1446600
2012-05-28,36.531436920166016,36.85761225199518,35.53575041958459,35.53575041958459,890739
2012-05-29,36.85761642456055,37.16662197257059,36.3254358048478,36.97778421393023,5201353
2012-05-30,36.428436279296875,36.960614539158506,36.20526587762597,36.823279265580545,4048557
2012-05-31,36.44560241699219,36.737442773039845,36.06792693603955,36.10226191737225,8033660
2012-06-01,35.587249755859375,36.3597658493512,35.36407937133241,36.22243058632333,3787828
2012-06-04,35.724578857421875,35.86191642518964,35.05506549088616,35.36407327204392,3267896
2012-06-05,36.37693786621094,36.80611352711453,35.87909456524817,36.016429845366524,12393979
2012-06-06,37.64728927612305,38.145134798654404,36.39409754664252,36.39409754664252,9494285
2012-06-07,37.09794998168945,38.024968845446054,36.90911224519186,37.64729337245086,4231838
2012-06-08,36.737430572509766,37.25244115090424,36.30825509051437,37.01210334667202,3997879
2012-06-11,36.82326889038086,37.25244440992253,36.73743378647252,37.080774202105864,2205393
2012-06-12,36.960609436035156,37.13227966851866,36.411263760717304,36.703104087309896,3376544
2012-06-13,36.943443298339844,37.16661366329472,36.61726800250757,36.909108321380714,2496726
2012-06-14,36.29110336303711,37.11512204331029,36.05076545445089,36.75461401621747,6671985
2012-06-15,36.4112663269043,36.65160653206111,36.20526343046138,36.462768797335066,10286920
2012-06-18,36.75461196899414,36.909114735306154,36.29110134163122,36.5657742197564,3027005
2012-06-19,37.338287353515625,37.73312798302568,36.600103907856486,36.75460899007292,9746993
2012-06-20,37.21812057495117,37.733131352524246,37.08078529896911,37.20095541177359,8882639
2012-06-21,37.68163299560547,37.73313314443771,36.70311154037673,36.909116792559736,4083003
2012-06-22,37.78462600708008,38.007796366468234,37.33828295987734,37.42411807170762,7332263
2012-06-25,37.029273986816406,37.921957668374745,36.82326880653498,37.64728487080825,5097127
2012-06-26,37.71595764160156,37.76745777631639,36.84043905246485,36.84043905246485,1992235
2012-06-27,37.698795318603516,38.248138701718155,37.458457442964196,37.76746295043951,5727518
2012-06-28,37.664459228515625,38.04213468512369,37.32111875102707,37.76746183744752,3083553
2012-06-29,38.986324310302734,39.34683230797802,37.87046766366726,37.88763515468548,7486892
2012-07-02,38.6601448059082,39.12365534346993,38.55714220551378,39.00348525493869,2634447
2012-07-03,38.3339729309082,38.96915374955928,38.145137529863455,38.90048611932241,4091332
2012-07-04,38.79749298095703,38.934828274956935,38.21381448881662,38.385484770530105,3061761
2012-07-05,39.24382781982422,39.41549807515606,38.625816763371084,38.797487018702924,2830305
2012-07-06,38.79749298095703,39.3125038260975,38.47131991138685,39.14083354438401,3797719
2012-07-09,38.72882080078125,38.79748843974372,38.48848290019916,38.7459882926286,2397364
2012-07-10,38.84898376464844,39.05498898439195,38.368308023149126,38.41980816387168,3199920
2012-07-11,39.020652770996094,39.31249310166599,38.694479790405765,38.694479790405765,2903254
2012-07-12,38.608642578125,39.003485493985856,38.48847481728371,39.003485493985856,2728401
2012-07-13,38.471309661865234,38.79748264453645,38.36830705459364,38.66014738712539,1672753
2012-07-16,38.67731475830078,38.866152494352576,38.14513885910035,38.36830924725364,3148848
2012-07-17,38.53997039794922,38.814643192074506,38.419800322886225,38.72880808943699,2407572
2012-07-18,38.179466247558594,38.64297677865377,38.02496351333567,38.488474044430845,2516255
2012-07-19,38.45413589477539,38.728808693182565,38.28246568682418,38.43696840829503,2171498
2012-07-20,38.19662857055664,38.625804067824646,38.04212585722538,38.21379605613258,1581366
2012-07-23,37.52711868286133,38.11079694669026,37.44128357557983,37.990626865125634,2728477
2012-07-24,38.09364318847656,38.57432135954488,37.389794589416375,37.475629727632814,8366909
2012-07-25,38.02496337890625,38.248133735503,37.269614869932916,37.990628403233025,6131518
2012-07-26,38.368309020996094,38.625814388159114,37.83613079650719,38.093636163670205,10181302
2012-07-27,39.260990142822266,39.48416050076989,38.488474141336226,38.900482209776825,4785341
2012-07-30,40.56568145751953,40.68585154315428,39.14081955975749,39.29532462083827,10354713
2012-07-31,40.840362548828125,41.441208407606304,40.56568736213175,40.58285718078033,13034800
2012-08-01,40.85751724243164,41.02918744381285,40.376841609934715,40.68584704105044,5116745
2012-08-02,40.54852294921875,40.94336358948024,40.47985298706305,40.54852294921875,5172210
2012-08-03,40.6171875,40.874692868020084,40.067846440373245,40.29101682795329,3992386
2012-08-06,41.355377197265625,41.57854760598227,40.72019629795371,40.84036641244849,3989076
2012-08-07,40.703025817871094,41.49271180256863,40.44552042963677,41.28670656061041,5499481
2012-08-08,40.840362548828125,40.960527995101,40.61718750437061,40.77169258794067,5783459
2012-08-09,40.874691009521484,41.286701442361625,40.634355471075764,40.891860827387546,4304923
2012-08-10,41.04637908935547,41.733064994866304,40.58287297199716,40.84037844024301,4906011
